,1/1/20,,,,,,,,,,,,
,1/8/2020,,,,,,,,,,,,
,1/15/2020,,,,,,,,,,,,
,1/22/2020,,,,,,,,,,,,
,1/29/2020,,,,,,,,,,,,
,2/5/2020,,,,,,,,,,,,
,2/12/2020,,,,,,,,,,,,
,2/19/2020,,,,,,,,,,,,
,2/26/2020,,,,,,,,,,,,
,3/4/2020,,,,,,,,,,,,
,3/11/2020,,,,,,,,,,,,
,3/18/2020,,,,,,,,,,,,
,3/25/2020,,,,,,,,,,,,
,4/1/2020,,,,,,,,,,,,
,4/8/2020,,,,,,,,,,,,
,4/15/2020,Healthcare,Basic Materials,Financials,Transportation & Logistics,Technology,Consumer Non-Cyclicals,Industrials,Energy,Consumer Cyclicals,Infrastructure,Properties & Real Estate,Average
,4/22/2020,,,,,,,,,,,,
,4/29/2020,-2.13%,-2.64%,-2.14%,-3.71%,-4.65%,1.69%,-0.47%,-1.56%,4.58%,-0.23%,-3.95%,-1.38%
,5/6/2020,-1.71%,0.17%,1.02%,-3.04%,1.58%,0.04%,-1.07%,-3.85%,3.14%,-3.22%,1.08%,-0.53%
,5/13/2020,-1.47%,-1.21%,0.44%,-3.84%,1.50%,-1.41%,-3.30%,-9.42%,-4.14%,-0.71%,-6.22%,-2.71%
,5/20/2020,-1.19%,-6.32%,-4.22%,-5.97%,-6.05%,-4.29%,-0.65%,-6.51%,-3.25%,-2.96%,-6.85%,-4.39%
,5/27/2020,0.24%,1.27%,2.59%,-0.27%,1.17%,-0.23%,0.61%,-1.83%,-1.51%,3.24%,0.38%,0.51%
,6/3/2020,0.34%,-2.98%,-0.30%,-3.51%,-3.40%,-3.00%,-1.96%,-3.53%,-2.54%,-6.11%,-4.61%,-2.87%
,6/10/2020,0.55%,1.76%,0.67%,-1.09%,-4.81%,-0.19%,-0.97%,-0.30%,-4.46%,-0.55%,1.42%,-0.72%
,6/17/2020,-6.27%,-13.42%,-7.45%,-11.18%,-7.42%,-8.67%,-5.76%,-13.03%,-8.36%,-4.84%,-5.18%,-8.33%
,6/24/2020,-0.92%,0.99%,0.87%,0.36%,1.00%,5.99%,3.14%,5.62%,-1.28%,1.01%,0.58%,1.58%
,7/1/2020,-13.34%,-21.70%,-10.00%,-16.83%,-3.15%,-4.75%,-10.52%,-24.82%,-13.46%,-12.15%,-12.60%,-13.03%
,7/8/2020,-9.34%,-15.73%,-15.09%,-19.00%,-10.75%,-14.74%,-8.83%,-19.28%,-3.75%,-17.41%,-13.78%,-13.43%
,7/15/2020,-3.31%,14.51%,7.97%,4.11%,13.24%,12.95%,3.74%,12.56%,-2.10%,6.82%,0.33%,6.44%
,7/22/2020,10.58%,20.19%,1.08%,9.08%,-5.96%,2.23%,-0.96%,14.25%,-6.49%,12.60%,0.15%,5.16%
,7/29/2020,2.60%,4.82%,-0.18%,-4.20%,2.55%,0.44%,2.91%,5.56%,3.97%,2.26%,10.95%,2.88%
,8/5/2020,0.32%,6.95%,2.01%,6.41%,-4.96%,-0.19%,1.20%,-2.94%,6.34%,11.46%,-1.19%,2.31%
,8/12/2020,-2.85%,4.59%,-2.83%,-1.62%,-0.33%,0.15%,-0.04%,-5.74%,-4.38%,-0.84%,-11.45%,-2.30%
,8/19/2020,8.35%,6.03%,3.82%,1.74%,8.66%,4.91%,3.29%,5.86%,4.07%,7.76%,5.26%,5.43%
,8/26/2020,2.90%,-0.62%,-0.75%,-4.91%,-2.19%,-1.30%,0.81%,-0.82%,-0.43%,-5.22%,-3.04%,-1.41%
,9/2/2020,1.91%,-3.67%,-5.60%,-8.14%,-9.34%,5.64%,-2.85%,-0.89%,0.26%,-1.01%,-5.09%,-2.62%
,9/9/2020,-2.85%,3.60%,4.63%,4.08%,4.02%,-3.06%,7.47%,4.46%,5.63%,-0.44%,-1.23%,2.39%
,9/16/2020,2.74%,1.82%,7.52%,4.31%,9.16%,1.03%,5.26%,2.54%,9.51%,2.90%,3.66%,4.59%
,9/23/2020,11.42%,3.54%,4.52%,12.54%,1.61%,1.43%,1.52%,8.12%,1.56%,7.11%,10.85%,5.84%
,9/30/2020,5.11%,-5.34%,-1.65%,6.37%,4.26%,-1.12%,-3.25%,-1.61%,-1.37%,-3.69%,-3.25%,-0.50%
,10/7/2020,1.62%,0.79%,0.55%,6.67%,5.40%,0.29%,2.39%,1.02%,0.76%,7.05%,1.37%,2.54%
,10/14/2020,-3.16%,-0.67%,-0.56%,6.57%,22.55%,-0.74%,1.21%,2.62%,1.29%,-2.56%,-8.10%,1.68%
,10/21/2020,1.11%,2.45%,1.56%,3.88%,9.97%,3.34%,1.56%,-0.96%,0.43%,1.34%,2.37%,2.46%
,10/28/2020,-0.67%,4.53%,5.86%,-1.29%,-12.73%,-1.61%,3.09%,2.67%,-1.76%,1.83%,2.89%,0.25%
,11/4/2020,-2.20%,3.88%,0.23%,2.41%,0.65%,2.05%,6.20%,5.36%,-1.98%,-0.34%,-4.23%,1.09%
,11/11/2020,0.33%,4.07%,1.26%,8.99%,-6.43%,-1.89%,-1.59%,1.13%,0.34%,-0.03%,0.61%,0.62%
,11/18/2020,0.23%,-1.12%,1.46%,-0.15%,-1.61%,1.72%,1.13%,2.68%,-2.29%,-0.66%,-0.09%,0.12%
,11/25/2020,0.36%,5.96%,-0.23%,-2.45%,8.96%,0.98%,4.50%,-1.91%,-0.94%,-1.36%,-3.24%,0.97%
,12/2/2020,-0.67%,-2.71%,3.28%,2.57%,-1.45%,2.37%,0.42%,1.56%,3.38%,2.07%,1.27%,1.10%
,12/9/2020,-0.14%,0.87%,0.25%,1.48%,2.46%,1.37%,0.53%,2.26%,2.83%,-0.68%,5.08%,1.48%
,12/16/2020,1.42%,-1.58%,5.63%,8.71%,3.83%,2.05%,0.05%,-0.88%,3.71%,-1.81%,5.99%,2.46%
,12/23/2020,-3.00%,-1.74%,2.06%,-4.08%,7.27%,-0.11%,-2.85%,-3.13%,-3.58%,-2.64%,-0.89%,-1.15%
,12/30/2020,0.53%,-3.16%,-6.03%,-9.92%,-0.78%,-1.03%,-4.43%,-6.36%,-6.71%,-2.41%,-1.06%,-3.76%
,1/6/2021,2.99%,5.18%,2.96%,7.48%,6.31%,-2.31%,3.54%,-1.77%,1.47%,0.06%,4.06%,2.72%
,1/13/2021,1.43%,-5.91%,-1.61%,-5.17%,-5.27%,-3.09%,1.25%,-4.21%,-1.30%,-4.05%,-8.46%,-3.31%
,1/20/2021,16.69%,7.55%,-0.12%,-1.40%,2.02%,-2.00%,-4.24%,-4.90%,-0.71%,2.28%,5.56%,1.88%
,1/27/2021,1.05%,1.51%,12.08%,2.86%,0.89%,1.28%,0.89%,3.37%,4.13%,1.49%,3.48%,3.00%
,2/3/2021,-3.32%,6.01%,9.01%,0.69%,-0.69%,-3.40%,-1.03%,4.24%,5.19%,1.86%,2.23%,1.89%
,2/10/2021,1.58%,5.86%,-1.40%,-2.85%,0.04%,2.84%,2.20%,3.00%,-0.23%,-3.21%,3.66%,1.05%
,2/17/2021,-3.38%,-1.92%,-0.05%,1.76%,3.65%,-0.58%,-0.90%,-0.07%,2.24%,-0.78%,-0.54%,-0.05%
,2/24/2021,-1.85%,8.50%,3.19%,1.88%,6.60%,1.49%,9.55%,0.32%,0.93%,4.64%,1.31%,3.32%
,3/3/2021,2.72%,0.86%,6.42%,4.62%,-2.05%,0.18%,0.43%,5.05%,3.00%,0.67%,1.70%,2.14%
,3/10/2021,0.90%,2.25%,0.48%,11.95%,-4.68%,0.69%,1.34%,4.40%,4.39%,3.92%,3.74%,2.67%
,3/17/2021,2.69%,6.42%,4.63%,7.45%,1.19%,0.29%,5.29%,13.76%,6.98%,8.04%,5.48%,5.66%
,3/24/2021,-0.68%,1.98%,1.37%,6.01%,1.42%,-1.49%,0.53%,2.75%,-2.02%,-0.21%,0.78%,0.95%
,3/31/2021,1.13%,4.81%,4.70%,2.67%,19.14%,-1.23%,3.08%,3.75%,5.70%,-0.30%,1.83%,4.12%
,4/7/2021,0.09%,15.40%,2.24%,3.77%,10.66%,2.57%,3.87%,3.40%,4.87%,16.94%,5.31%,6.28%
,4/14/2021,-0.09%,-1.40%,0.59%,-2.28%,-0.76%,-0.51%,-0.40%,-5.51%,1.30%,6.02%,-1.09%,-0.38%
,4/21/2021,-1.34%,-0.92%,-0.71%,-2.20%,1.24%,-0.25%,0.13%,-3.03%,-6.45%,-3.30%,-1.77%,-1.69%
,4/28/2021,1.79%,15.47%,4.71%,3.09%,10.60%,0.12%,2.02%,7.31%,3.52%,5.44%,2.06%,5.10%
,5/5/2021,3.45%,4.71%,2.03%,5.20%,0.02%,0.00%,0.09%,11.62%,10.08%,-0.53%,-0.02%,3.33%
,5/12/2021,-2.23%,-6.70%,-0.57%,-3.59%,-1.34%,-0.62%,-1.07%,-5.26%,-6.80%,2.09%,-1.77%,-2.53%
,5/19/2021,6.64%,-7.22%,-7.44%,-12.03%,-1.48%,-4.60%,-6.59%,-10.72%,0.69%,-4.69%,-4.10%,-4.69%
,5/26/2021,0.21%,11.20%,3.43%,11.94%,9.51%,2.64%,7.14%,2.35%,-3.28%,6.16%,3.61%,4.99%
,6/2/2021,-2.45%,2.44%,-0.03%,3.53%,0.21%,0.00%,-1.78%,-1.41%,1.79%,-0.06%,3.61%,0.53%
,6/9/2021,1.36%,-1.98%,-1.57%,6.83%,4.18%,-2.04%,-0.28%,-2.73%,6.62%,-1.18%,4.01%,1.20%
,6/16/2021,-1.70%,-0.37%,-1.07%,0.32%,20.53%,3.81%,-1.80%,1.12%,-4.48%,4.90%,3.03%,2.21%
,6/23/2021,2.81%,-8.25%,-1.63%,2.15%,-4.67%,-0.28%,2.16%,-3.16%,-5.20%,-3.14%,0.81%,-1.67%
,6/30/2021,2.17%,0.79%,2.10%,5.58%,-5.36%,4.14%,0.49%,1.96%,4.51%,1.90%,4.30%,2.05%
,7/7/2021,2.48%,-0.08%,4.00%,4.46%,-0.28%,2.62%,-0.42%,-1.86%,-1.97%,2.21%,1.41%,1.14%
,7/14/2021,-3.38%,-0.01%,-3.86%,-1.03%,1.04%,-2.75%,-1.05%,-0.18%,-5.42%,-2.52%,0.14%,-1.73%
,7/21/2021,-4.24%,-5.84%,-2.89%,-2.41%,1.41%,-0.24%,0.34%,-2.55%,5.01%,-1.09%,-1.57%,-1.28%
,7/28/2021,3.14%,3.08%,0.81%,3.80%,-0.18%,0.65%,-0.25%,1.30%,6.75%,1.87%,2.32%,2.12%
,8/4/2021,1.78%,-0.14%,-0.28%,2.18%,2.85%,0.66%,0.03%,-4.34%,-2.23%,3.19%,-1.98%,0.15%
,8/11/2021,-0.63%,-1.82%,-1.60%,3.63%,32.06%,-1.99%,0.64%,3.15%,1.30%,0.22%,1.45%,3.31%
,8/18/2021,-0.56%,7.72%,-1.31%,1.01%,16.69%,-1.53%,-1.11%,6.73%,1.21%,2.13%,1.62%,2.96%
,8/25/2021,4.54%,2.86%,-0.65%,8.66%,11.68%,-3.43%,-0.27%,1.78%,-4.10%,-4.55%,-1.17%,1.40%
,9/1/2021,-0.46%,-0.20%,-0.65%,2.32%,8.76%,-1.32%,-0.08%,-1.84%,-1.74%,0.94%,-1.36%,0.40%
,9/8/2021,3.15%,-9.68%,-5.23%,19.06%,11.98%,-2.12%,-1.89%,-4.89%,-3.99%,3.59%,-4.10%,0.53%
,9/15/2021,-1.07%,0.41%,-0.18%,-3.76%,-1.74%,1.79%,4.06%,12.59%,3.25%,-1.32%,-1.95%,1.10%
,9/22/2021,2.55%,-0.76%,4.68%,1.99%,0.64%,2.48%,3.33%,-1.77%,3.65%,10.01%,-2.56%,2.20%
,9/29/2021,-0.25%,2.44%,-0.34%,12.79%,-0.27%,1.20%,14.77%,3.79%,3.54%,0.51%,-3.14%,3.19%
,10/6/2021,-1.04%,-1.50%,-1.77%,-5.15%,10.77%,-5.43%,-3.10%,-4.67%,-8.81%,0.17%,-0.66%,-1.93%
,10/13/2021,0.77%,7.10%,0.91%,-4.58%,26.49%,0.67%,-3.42%,2.04%,4.72%,1.42%,0.90%,3.37%
,10/20/2021,2.58%,-1.94%,1.99%,-1.57%,23.69%,3.76%,-1.86%,0.66%,9.46%,-3.31%,-3.57%,2.72%
,10/27/2021,-2.46%,6.67%,5.87%,-3.69%,11.15%,-1.46%,-1.70%,-1.75%,9.07%,1.26%,1.45%,2.22%
,11/3/2021,2.57%,-2.29%,-1.21%,1.23%,-5.75%,2.68%,-1.85%,-0.13%,-4.96%,-0.01%,-1.80%,-1.05%
,11/10/2021,-0.28%,-3.29%,-0.34%,-2.85%,-2.45%,-2.27%,0.87%,0.06%,-1.12%,-2.23%,5.78%,-0.74%
,11/17/2021,-1.78%,4.28%,-1.89%,5.12%,-1.12%,-3.20%,1.33%,-2.65%,6.71%,4.45%,-0.44%,0.98%
,11/24/2021,-1.69%,-0.93%,3.45%,-0.47%,0.23%,3.78%,7.34%,2.36%,10.24%,-1.61%,-0.86%,1.99%
